sample_id,date,feature_name,location,code,pcs/m,quantity,parent_boundary,length,groupname,city,feature_type,canton
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G167,0.0,0,les-alpes,75.0,recreation,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G941,0.0,0,les-alpes,75.0,packaging non food,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G148,0.0,0,les-alpes,75.0,packaging non food,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G198,0.0,0,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G936,0.0,0,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G105,0.0,0,les-alpes,75.0,micro plastics (< 5mm),Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G7,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G168,0.0,0,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G25,0.0,0,les-alpes,75.0,tobacco,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G31,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G928,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G67,0.0,0,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G95,0.0,0,les-alpes,75.0,waste water,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G159,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G89,0.0,0,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G24,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G10,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G66,0.0,0,les-alpes,75.0,infrastructure,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G117,0.0,0,les-alpes,75.0,micro plastics (< 5mm),Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G71,0.0,0,les-alpes,75.0,personal items,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G23,0.0,0,les-alpes,75.0,packaging non food,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G917,0.0,0,les-alpes,75.0,unclassified,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G926,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G128,0.0,0,les-alpes,75.0,unclassified,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G171,0.0,0,les-alpes,75.0,agriculture,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G712,0.0,0,les-alpes,75.0,recreation,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G122,0.0,0,les-alpes,75.0,micro plastics (< 5mm),Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G142,0.0,0,les-alpes,75.0,recreation,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G34,0.0,0,les-alpes,75.0,food and drink,Troistorrents,p,Valais
"('clean-up-tour-morgins', '2021-06-05')",2021-06-05,alpes-valaisannes,morgins,G152,0.0,0,les-alpes,75.0,tobacco,Troistorrents,p,Valais
